Group,Course,Units,Strict_Prereq,Co_Prereq
General,Persian Language,3,,
General,General English,3,,
General,Physical Education 1,1,,
General,Physical Education 2,1,,
General,Islamic Thought 1,2,,
General,Islamic Thought 2,2,Islamic Thought 1,
General,Islamic Ethics,2,,
General,Islamic Revolution of Iran,2,,
General,History and Civilization of Islam,2,,
General,Family and Population Studies,2,,
General,Introduction to Islamic Resources,2,,
Basic,Calculus 1,3,,
Basic,Calculus 2,3,Calculus 1,
Basic,Differential Equations,3,,Calculus 2
Basic,Physics 1,3,,Calculus 1
Basic,Physics 2,3,Physics 1,
Basic,Physics Lab 1,1,,Physics 1
Basic,Physics Lab 2,1,,Physics 2
Basic,Computer Programming,3,Calculus 1,
Basic,Numerical Methods,2,Computer Programming,
Core,Linear Algebra,3,Calculus 1,
Core,Probability Theory,3,Calculus 2,
Core,Engineering Statistics,3,Probability Theory,
Core,General Economics 1,2,,
Core,General Economics 2,2,General Economics 1,
Core,Materials Science,3,,
Core,Industrial Drawing,2,,
Core,Strength of Materials,3,Calculus 1,
Core,Fundamentals of Electrical Engineering,3,Physics 2,
Core,Electrical Engineering Lab,1,,Fundamentals of Electrical Engineering
Core,Production Methods,3,,Machine Shop Workshop 1
Core,Principles of Accounting and Costing,3,,
Core,Engineering Economy,3,General Economics 1,
Core,Operations Research 1,3,Linear Algebra,
Core,Operations Research 2,3,Operations Research 1,
Core,Work and Time Study,3,Production Methods,
Core,Principles of Management and Organization Theory,2,,
Core,Industrial Plant Layout,3,Work and Time Study; Industrial Drawing; Production Methods,
Core,Production Planning and Inventory Control 1,3,Operations Research 1,
Core,Statistical Quality Control,3,Engineering Statistics,
Core,Simulation,3,Computer Programming; Engineering Statistics,
Core,Project Management,3,Operations Research 1,
Core,Final Year Project,3,,
Workshop,Machine Shop Workshop 1,1,,Industrial Drawing
Workshop,"Foundry, Melting and Modeling Workshop",1,,Industrial Drawing
Workshop,General Welding Workshop,1,,
Elective,Production Planning,3,Production Planning and Inventory Control 1,
Elective,Production Planning and Inventory Control 2,3,Production Planning and Inventory Control 1,
Elective,Maintenance Planning,3,Probability Theory; Engineering Economy,
Elective,Transportation Planning,3,Operations Research 1,
Elective,Systems Analysis,3,Differential Equations,
Elective,Quality Management and Productivity,3,Statistical Quality Control,
Elective,Financial Management,2,Principles of Accounting and Costing,
Elective,Management Information Systems,3,Computer Programming,
Elective,Payroll Systems,3,Principles of Accounting and Costing,
Elective,Plant Design (Creating Industries),3,Principles of Accounting and Costing; Industrial Plant Layout; Engineering Economy,
Elective,Human Factors Engineering (Ergonomics),3,Work and Time Study,
Elective,Probabilistic Models and Queuing Theory,3,Probability Theory,
Elective,Precision Measurement and Quality Control Lab,2,Statistical Quality Control; Production Methods,
Elective,Principles of Marketing,2,,
Elective,Machine Shop Workshop 2,1,Production Methods,
Internship,Internship,1,,
