node,x,y
0,4,82
1,17,45
2,23,91
3,31,27
4,38,68
5,45,12
6,52,53
7,59,86
8,66,34
9,73,76
10,81,19
11,88,61
12,95,42
13,7,18
14,14,73
15,21,35
16,28,58
17,35,6
18,42,94
19,49,24
20,56,71
21,63,47
22,70,8
23,77,57
24,84,89
25,91,31
26,98,67
27,3,39
28,10,96
29,18,11
30,25,81
31,32,44
32,39,17
33,46,63
34,53,92
35,60,29
36,67,70
37,74,51
38,82,6
39,89,84
40,96,23
41,5,64
42,12,31
43,19,88
44,26,14
45,33,75
46,40,49
47,47,4
48,54,59
49,61,87
50,68,36
51,75,15
52,83,73
53,90,53
54,97,9
55,8,55
56,15,22
57,22,67
58,29,93
59,36,38
60,43,79
61,50,18
62,57,46
63,64,3
64,71,91
65,78,26
66,85,65
67,92,41
68,99,80
69,2,7
70,9,85
71,16,48
72,24,29
73,30,72
74,37,55
75,44,89
76,51,33
77,58,62
78,65,20
79,72,95
80,79,43
81,86,12
82,93,68
83,100,35
84,6,92
85,13,59
86,20,5
87,27,47
88,34,83
89,41,21
90,48,69
91,55,11
92,62,52
93,69,77
94,76,30
95,83,58
96,90,16
97,97,94
98,11,40
99,57,97
